ct,intensity(10^5)
13.54081682,8.835729086
12.03986985,7.806688682
13.54591589,7.915177415
12.97275641,7.389568765
14.39333236,6.928256928
14.92448524,7.037457912
15.90095668,6.751813002
13.37995338,5.876942502
15.91164044,4.823038073
19.8113345,4.798271173
14.72125097,3.728017353
17.51626845,3.134194509
17.07410645,2.959175084
16.14619755,2.477661228
16.55533702,0.614348614
18.27311577,2.498025123
19.4644765,3.417702668
21.10455517,3.328833204
20.1772533,2.737729863
21.46161131,2.868298368
20.45126748,1.269036519
21.03001166,0.786421911
21.60317113,1.312030562
22.44585276,1.179908055
21.87196484,0.785806786
21.8730575,0.588545714
22.98186189,0.412393162
22.84965035,0.280982906
23.46809441,0.631216006
25.19485723,0.892968143
25.19607129,0.673789174
24.79882964,0.389147889
25.90666278,0.388338513
26.61628302,0.278231028